Outcome,Treatment,Control,Method,Est_Prop,Est_Imput,Neighbors,Caliper_Std,ATE,ATET
re78,DWT,PSID,PSM,RF,,1.0,0.1,2499.6300702141325,2481.99398761906
re78,DWT,PSID,PSM,RF,,1.0,0.2,1675.9261569006967,2729.103349096981
re78,DWT,PSID,PSM,RF,,1.0,1.0,3617.4526936634475,5060.608272285219
re78,DWT,PSID,PSM,RF,,10.0,0.1,2550.4836033659294,2432.6149794974826
re78,DWT,PSID,PSM,RF,,10.0,0.2,831.5942897294783,1921.8867537250112
re78,DWT,PSID,PSM,RF,,10.0,1.0,98.36996840840004,2182.6840927602316
re78,DWT,PSID,IPTW,RF,,,,-4698.777354845053,
re78,DWT,PSID,DR,RF,RF,,,-1358.314028368719,
re78,DWT,PSID,DR,RF,GB,,,-1268.5603911120834,
dif,DWT,PSID,PSM,GB,,1.0,0.1,-2694.733018491308,891.9148715902692
dif,DWT,PSID,PSM,GB,,1.0,0.2,-2840.7621930176456,903.4762039646957
dif,DWT,PSID,PSM,GB,,1.0,1.0,-2794.6006669476255,803.6834685698799
dif,DWT,PSID,PSM,GB,,10.0,0.1,-4573.247148971881,-851.2446428834431
dif,DWT,PSID,PSM,GB,,10.0,0.2,-5857.924870105792,-515.4920345513005
dif,DWT,PSID,PSM,GB,,10.0,1.0,-3183.404748323967,-189.14080844547303
dif,DWT,PSID,IPTW,GB,,,,-3742.6191706458785,
dif,DWT,PSID,DR,GB,RF,,,-946.8925173211524,
dif,DWT,PSID,DR,GB,GB,,,-2043.9874595326298,
re78,DWT,PSID,PSM,GB,,1.0,0.1,-639.8748134255592,1077.5811118845559
re78,DWT,PSID,PSM,GB,,1.0,0.2,-536.433357966886,1117.6292113333038
re78,DWT,PSID,PSM,GB,,1.0,1.0,-562.1136809391761,1008.4470562312914
re78,DWT,PSID,PSM,GB,,10.0,0.1,-2117.2437750381996,-494.2724968628546
re78,DWT,PSID,PSM,GB,,10.0,0.2,-2380.5691686373693,-110.0263845613816
re78,DWT,PSID,PSM,GB,,10.0,1.0,-2357.976314120279,182.755232470968
re78,DWT,PSID,IPTW,GB,,,,-4402.457966846695,
re78,DWT,PSID,DR,GB,RF,,,-1945.64165940069,
re78,DWT,PSID,DR,GB,GB,,,-2317.708116003851,
